id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1275847280775401586,Default,,2024-08-21T16:01:35.833+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"## DNC roll call playlist (Aug 20)
https://open.spotify.com/playlist/4qxuSibT1VUQCehpCoPdml?si=0ThzbGL1RiKpirdvDCjdtA&pi=a1tcdiE-SCaHp"
1275866610699206667,Default,,2024-08-21T17:18:24.446+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"## **DNC Roll Call Full Video Replay:**

https://www.youtube.com/live/Ww8LUEru5Cg?si=nTb3m_iDMY-QdWGf&t=1423"
1275925410823278612,Default,,2024-08-21T21:12:03.488+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,## And an Apple playlist as well: https://music.apple.com/us/playlist/dnc-2024/pl.u-gxblgdGI5DYmZE
1275966912433754254,Default,,2024-08-21T23:56:58.243+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"## **Washington Post Curated DNC Convention 2024 Spotify Playlist:**

https://open.spotify.com/playlist/255yB7xlzBifP5PJO23k1C?si=7d9e58ef1a424ec3"
1277384779548852356,Default,,2024-08-25T21:51:04.106+00:00,cstyle4,Cstyle4,1276589774395805902,assets\8569adcbd36c70a7578c017bf5604ea5-AABC7.png,This song is missing from the playlists https://youtu.be/7pZkdrSBy-k?feature=shared
1277463327689408532,Default,,2024-08-26T03:03:11.442+00:00,mariebroph2677695,Marie B. | PA/NJ | OE/KC,941196169852366859,assets\4412fd436c9a7d43a1770d5771bbdd0c-8CC79.png,"https://music.youtube.com/playlist?list=PLdmRgkHpCPs_KYfOyTeS9Aty0UbbWHhZb&si=NTC0ro3cIx9o7AzR
Includes stuff for motivation, inspiration, and from the DNC convention roll call. It's something for everyone."
1277623188511260682,Default,,2024-08-26T13:38:25.232+00:00,katevotes,Kate Z [PA → CA],1264709290195685416,assets\57433312dd39630d8fec96a3149006e0-CB7BF.png,"Here's the playlist I started in July, Kamalanomenon. It's a mix of songs Harris has used or talked about + ones that resonate with me + some from the convention that fit (pop / hip hop / dance / rap mix). https://pandora.app.link/zfap6PfsnMb"
1277698169563516980,Default,,2024-08-26T18:36:22.108+00:00,caitstorm,caitlin b (C.O.) KC,957727344796262430,assets\52e93ef6620f627b52730cff9a85334d-4E6D3.png,https://open.spotify.com/playlist/6RCwXFpiL0NaVjHZ1VuFbU?si=zpGOh1piQw2AWW-h4omXgw&pi=u-RXauPOSnTziK&nd=1&dlsi=1007638b44eb4d03 been working on this one.
1277720496770912357,Reply,1277698169563516980,2024-08-26T20:05:05.329+00:00,katevotes,Kate Z [PA → CA],1264709290195685416,assets\57433312dd39630d8fec96a3149006e0-CB7BF.png,"""I'm so excited"" → I need to add that to my list!"
1277785742080213013,Default,,2024-08-27T00:24:21.023+00:00,beta.io.,Mariah,1222996928757891241,assets\9ce3dc7d7c801f88940948315c6d5bb5-EF58D.png,https://www.instagram.com/p/C_AY_JCR6fS/?igsh=MTV4N2F0d291ZDA4ZA==
1277827015403114498,Default,,2024-08-27T03:08:21.35+00:00,yharonthearbiter,Will M [IL District 11],544329533973856256,assets\1312d34e65565e008297fe694468e6d9-432AE.png,"Here's a playlist I have been trying to make
It's pretty small at only 6 songs at the moment but for good reason, because each and every song in this playlist symbolically represents a concept in the 2024 election that is extremely important to me.

- Freedom (Obvious)
- 365 (Enthusiasm around Harris, also pretty obvious)
- Centuries (What happens this year will be talked about for centuries for one reason or another)
- Thank You (Pushing back against backwards ideology)
- Parents (LGBTQ+ Rights)
- We won't go back (Dual meaning: Obvious / The absolutely soulless supreme court ruling that was Dobbs)

I want to expand it further if I find more songs that fit perfectly like these ones. If anyone has suggestions, let me know.

https://open.spotify.com/playlist/2cGXOJmSxelnXY2KRUnNdM?si=G4VmFhFdQ12PKm7tqdDxug&pi=EWzHGRA9STSUX"
1278154592525226024,Default,,2024-08-28T00:50:01.822+00:00,lisaphoenix123066,Lisa @phoenix123066,1270538421097594900,assets\5445ffd7ffb201a98393cbdf684ea4b1-BD82C.png,Thank you!
1278480981900267601,Default,,2024-08-28T22:26:59.113+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,https://music.apple.com/us/playlist/harris-walz/pl.u-RRbVBZ5smy2dgA
1278481012556304384,Default,,2024-08-28T22:27:06.422+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Thanks Brad!
1278481134837301299,Default,,2024-08-28T22:27:35.576+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,YW have fun playing it
1278481198217428992,Default,,2024-08-28T22:27:50.687+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,I walk my neighbors dog to it
1278481817057492994,Reply,1278481198217428992,2024-08-28T22:30:18.23+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Amazing! Yeah we are collecting them too! Love these jams and the excitment 🎶
1278481869653934100,Default,,2024-08-28T22:30:30.77+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,https://tenor.com/view/manlsmonet-gif-23253122
1278482043918880790,Default,,2024-08-28T22:31:12.318+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,https://music.apple.com/us/playlist/harris-walz/pl.u-RRbVBZ5smy2dgA
1278482352477175896,Default,,2024-08-28T22:32:25.884+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,I  addded Jon Baptiste’s Track Freedom live in Jefferson Parish outside of New Orleans
1278483998288379904,Default,,2024-08-28T22:38:58.276+00:00,boz73,Brad Bozant,769336617495429120,assets\71a16c55a58dd84b07dd1a3b970f9287-484C6.png,Play it at work and drive MAGA Coworkers bonkers.
1278484068123541620,Reply,1278483998288379904,2024-08-28T22:39:14.926+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Haha the fear this gives them...
1278484090923782164,Default,,2024-08-28T22:39:20.362+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Nothing scarier
