id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1292283287963963452,Default,,2024-10-06T00:32:25.313+00:00,blackgirlmagic5148,Vicky,717621451380752384,assets\7e0b92ac9c219576d1678866b1fa9479-1625E.png,Am I the first to post here?? Had some great calls in WI today. A majority of the voters are voting for Harris and two had already early-voted for her!
1292283480574791731,Default,,2024-10-06T00:33:11.235+00:00,pixeldogma14,Marie,941196169852366859,assets\0bf90aec78ed3c5d84a20f62c7ac9e14-19C1F.png,"Looks like you're the first one, Vicky! Hopefully you won't be the last. Great to see you're reaching out to some great people."
1292290910272356352,Default,,2024-10-06T01:02:42.613+00:00,dpsf.,dpsf,1291523703137632302,assets\af13b35eb9b0df6290e35b1a5c332af4-6ACF0.png,Hello everyone! 🐀🇺🇸💙 Will be making calls once I can complete the training (am late lol ; must go 🫠)  An Independent in NJ with family in PA MI and TX
1292304591718715433,Reply,1292290910272356352,2024-10-06T01:57:04.524+00:00,larrya._98544,Larry Ahlgrim (VA) [Call Mod],1266903666879627274,assets\5fde485e55d806d8356ca6e7e08f1f48-77A19.png,Thank you so much for volunteering!💯
1292305360740155493,Default,,2024-10-06T02:00:07.873+00:00,dpsf.,dpsf,1291523703137632302,assets\af13b35eb9b0df6290e35b1a5c332af4-6ACF0.png,"Am attempting to use the dialer - the Zoom meeting decamped for there (in a interesting lemon twist, the auto-correct attempted 'decanted' there ... not quite yet 🫠🧃)  but am encountering permissions issues - working on resolving this and will rejoin once can."
1292535130937622641,Reply,1292283287963963452,2024-10-06T17:13:09.357+00:00,stephanie004760,Stephanie-Call Mod,1277405088708690007,assets\669e935c4a453f1f4076b69f3d3837b2-001DB.png,So great to hear!!!!
1292955685515952189,Default,,2024-10-07T21:04:17.382+00:00,drtrillian,Trill [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,<@1267218248491991095> Did you see they set up this channel based on your request?  Yay!
1292956746628989041,Default,,2024-10-07T21:08:30.371+00:00,urielberman1.3,Uriel Berman (FL),1267218248491991095,assets\1-B2132.png,YAY!!!
1292956827767541831,Default,,2024-10-07T21:08:49.716+00:00,urielberman1.3,Uriel Berman (FL),1267218248491991095,assets\1-B2132.png,Thank you (I dont even remember who I said this too)!
1292957224502824990,Default,,2024-10-07T21:10:24.305+00:00,urielberman1.3,Uriel Berman (FL),1267218248491991095,assets\1-B2132.png,"I usually do not call voters much but I text voters. We get a lot of horrible and mean responses (I assume calling is like that or even worse). Mentally, it really helps, for me, to go to a channel simply for nice things/nice responses. I hope everyone on the call team enjoys it😀"
1292996575018094622,Reply,1292957224502824990,2024-10-07T23:46:46.199+00:00,hungry.hiker,Laura • Call Mod,756314488113987654,assets\17cc8d88ecbbf97be2db9bd3b73d030b-3616D.png,I text and call both. I think people are actually much nicer on the phones. I think when people text back they aren't always aware there is a person reading them. On the phone usually if people don't want to talk they just hang up.
1292997174291857418,Default,,2024-10-07T23:49:09.077+00:00,hungry.hiker,Laura • Call Mod,756314488113987654,assets\17cc8d88ecbbf97be2db9bd3b73d030b-3616D.png,Though definitely there are a few rude ones
1292998651613810780,Default,,2024-10-07T23:55:01.298+00:00,urielberman1.3,Uriel Berman (FL),1267218248491991095,assets\1-B2132.png,thats prob true. the texts can be BRUTAL
1293191537160753154,Reply,1292957224502824990,2024-10-08T12:41:28.796+00:00,megk8199,Megan Morris NY,1266394779676184707,assets\ef0881069adff0161f4bd602f9c62624-E5156.png,"Calling is MUCH nicer than texting. People think you're a bot over text, or you're just a faceless, voiceless nobody and they can say whatever they want. The worst thing that happens over calls is someone starts swearing and we hang up lol."
1293194202636619807,Default,,2024-10-08T12:52:04.295+00:00,urielberman1.3,Uriel Berman (FL),1267218248491991095,assets\1-B2132.png,lol true. Keep up the good work guys!!! 28 days to go!
1293291935334793376,Default,,2024-10-08T19:20:25.586+00:00,starkittynmom,Jennifer • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,"We were calling to confirm attendees for the Reno rally tonight with Tim Walz (this had to be rescheduled due to wildfires last month) and so many attendees are older adults who are attending their first political rally. It was inspiring to hear and really validates that this election is special and is bringing people into political engagement in a way that hasn't been seen in a long time. 

Great job, team! You make that happen!"
1293298953789509684,Reply,1293291935334793376,2024-10-08T19:48:18.916+00:00,barb4964,"Barbara Sutliff [CC, CALL MOD]",682129533041901620,assets\44df5ccfcd9af0891cb9fb1dd0ca8948-2D3BE.png,I hear I am an older adult supposedly but nah. The only big rally I went to was taking my kid out of school early to hear the next President Barack Obama speak. She doesn't remember the speech but it was a magical fall night and practically my whole office came (it was nearby) and the 3 or 4 Repubs had the whole office to themselves 🤪 A few days ago my daughter and I went to Baltimore and saw Billie Eilish!
1293319851867115562,Reply,1293298953789509684,2024-10-08T21:11:21.406+00:00,starkittynmom,Jennifer • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,"My definition of ""older adults"" keeps changing as I get older 😂"
1293324420131061821,Reply,1293319851867115562,2024-10-08T21:29:30.565+00:00,barb4964,"Barbara Sutliff [CC, CALL MOD]",682129533041901620,assets\44df5ccfcd9af0891cb9fb1dd0ca8948-2D3BE.png,right! 66 is the new ????  🙄  😆
1293555422866964553,Reply,1293324420131061821,2024-10-09T12:47:25.909+00:00,gail_13473,Gail  (CALL Mod D.C.),1266903886434799708,assets\d7cf124e026fd267b766d2554eaff836-ACF91.png,How about 73? ❤️‍🔥
