id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1283538564201840640,Default,,2024-09-11T21:24:00.699+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,"Hi — I went in to verify my
phone number as requested but also need my
Password to complete verification.  I don’t remember my password.  I have submitted a request for password reset three times now and I have yet to receive and email with link on how to reset password.  Have checked my spam too and it’s not there.  Any suggestions?"
1283540485457317933,Reply,1283538564201840640,2024-09-11T21:31:38.762+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Joan, I will help you with this. Can you go to User Settings > My Account and make sure the email there is what you are using to request the password reset."
1283540917684273213,Default,,2024-09-11T21:33:21.813+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,Carolyn -  Thank you.  A link to reset finally showed up in my email.
1283802495679860930,Default,,2024-09-12T14:52:46.867+00:00,ileen0810,PA(Ileen),1261345274131906643,assets\3-FB033.png,I don’t know where to find user settings in my account
1283804450305343551,Default,,2024-09-12T15:00:32.886+00:00,ileen0810,PA(Ileen),1261345274131906643,assets\3-FB033.png,Please help
1283810737055072418,Default,,2024-09-12T15:25:31.764+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,Click the gear icon next to your profile picture at the bottom of your discord screen.
1283811624901415018,Reply,1283802495679860930,2024-09-12T15:29:03.443+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"On mobile, tap ""you"" in lower-left, then tap gear in upper-right, then tap account. If you see a phone number you are good."
1283812001260245107,Reply,1283802495679860930,2024-09-12T15:30:33.174+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"On desktop or browser, click the gear in lower-left, click My Account in left menu."
1283813862805733487,Default,,2024-09-12T15:37:57.001+00:00,ileen0810,PA(Ileen),1261345274131906643,assets\3-FB033.png,I did what you said on mobile but after I clicked on the gear I didn’t see account to tap. There was a user profile. I tapped that but there was no phone number or place for it. Same with server profile
1283819063046439054,Default,,2024-09-12T15:58:36.835+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"are you iPhone or Android?
I will share screenshots with you in a couple of hours."
