id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1266879352511922267,Default,,2024-07-27T22:06:15.119+00:00,wholeheartedleaders_18372,Wholehearted Leaders,1266875045867819009,assets\1-B2132.png,"Great.  I want to use the Mobilize platform to host virtual community events, but need appropriate permissions from Administrators.  I currently am only empowered on the platform to host phone banks. Can you assist me in gaining greater Mobilize capability?"
1266884845007671297,Default,,2024-07-27T22:28:04.632+00:00,irachnid,Irachnid,224384492423348224,assets\9ea96fe5e7e60ceda2e4462986a3bef4-5578D.png,Anyone in Seattle area?
1266889003647631473,Default,,2024-07-27T22:44:36.129+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,"Austin, TX"
1268029181871263764,Default,,2024-07-31T02:15:15.801+00:00,evanstone3626,EvanStone(NY),832058403635331122,assets\7c35dd78626319b3251a98fa16d719cf-C75A3.png,"Hi, I am one of the organizers of Dads for Kamala and we are planning both in person phone banks and virtual phone banks. Would love to fold into the campaign infrastructure if someone could help with this?

We also have a number of house parties that are meant to drive commitments and donations. We built a toolkit for this, but would be great to align with any tools the campaign already has. Thanks!"
1268029621987840001,Reply,1268029181871263764,2024-07-31T02:17:00.733+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Go to <#1245826306780823563>
1268731069343989902,Default,,2024-08-02T00:44:18.815+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,Anyone in the Rochester NY working to host an event?
1268732027813761175,Reply,1268731069343989902,2024-08-02T00:48:07.332+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Have you searched https://events.democrats.org/ ?
1268743063686348850,Default,,2024-08-02T01:31:58.489+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,Yes I  did...
1268745558772944936,Reply,1268743063686348850,2024-08-02T01:41:53.364+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,I assume that you're interested in helping a host.  Would your interest be with any event type or a specific type?
1268750844900282480,Default,,2024-08-02T02:02:53.675+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"Maybe a watch party/fundraiser...on the same night Kamala will give her speech. What day will that be?

How would one do a fundraiser...watch  party?🥳 🎉"
1268945231198421103,Default,,2024-08-02T14:55:18.98+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,Thank you!!!
1268992888998727751,Reply,1268750844900282480,2024-08-02T18:04:41.485+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,We just created a channel on the discord specifically for people who want support in their watch party events! See <#1268992013840416879> !
1269329544964477065,Default,,2024-08-03T16:22:26.522+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"<@1257469301435400238>  Is there a way to combine a watch party with a fundraiser?

I have the form but it doesn't show me how to do it."
1269330180887937164,Reply,1269329544964477065,2024-08-03T16:24:58.138+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,(Sarah Jane is organizing Watch Parties.)  Go to <#1268992013840416879>
1269334121570767052,Default,,2024-08-03T16:40:37.67+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"Ok I will go back there!

Thank you!"
1269455282581409813,Default,,2024-08-04T00:42:04.706+00:00,debbie2635,Debbie Kitchen (MO),825711101441867796,assets\3dff51706546859756acd81377e16440-B3EB5.png,"From St Louis for Statwide coalition—

I am in the host group. I will want to try to have an online rally/fundraiser in MO using Indivisible Missouri Coalition (statewide)"
1269455597070454854,Default,,2024-08-04T00:43:19.686+00:00,debbie2635,Debbie Kitchen (MO),825711101441867796,assets\3dff51706546859756acd81377e16440-B3EB5.png,I need to try for Sept 7th or when campaign can have her on for a short hello and we connect an action to this
1269786377713881210,Default,,2024-08-04T22:37:43.937+00:00,ottoflux,ottoflux,362655455274729475,assets\cb9d10ad9fd781982e8020ff85ddca3f-403D0.png,"Hey, Jason R Totten from Dads for Kamala here. I was asked if we have a map of campaign offices on the website. I didn’t see any but wanted to ask here. We’re from all over but a group within driving range of PA are planning to go and campaign there and we’re wondering where we can hook up other dads in other swing states where they can be more effective without duplicating efforts."
1269844705315786872,Default,,2024-08-05T02:29:30.321+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,What do folks in Georgia need most? I have over 300 people RSVPed to our New Orleans event. I want to send out a call to action to support our friends in Georgia.
1269845284607889428,Reply,1269844705315786872,2024-08-05T02:31:48.435+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"Ask a moderator to add GA to your channels, so you can ask Georgians."
1269845367176826932,Default,,2024-08-05T02:32:08.121+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,Where do I find a moderator?
1269847782617776160,Reply,1269845367176826932,2024-08-05T02:41:44.007+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,you can ask a moderator from anywhere. I'll add GA for you.
1269848081369665617,Reply,1269845367176826932,2024-08-05T02:42:55.235+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"you already have GA, do you want Louisiana too?"
1269848116551483487,Reply,1269847782617776160,2024-08-05T02:43:03.623+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,Yep!
1269848218477396109,Reply,1269848116551483487,2024-08-05T02:43:27.924+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,done
1269848241684349001,Default,,2024-08-05T02:43:33.457+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,Thanks!
