id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1289352548943396965,Default,,2024-09-27T22:26:42.68+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"Both the <#1252676126698897429> and <#1250876565366243348> are excellent, but I need links to send in email, so they can have a wider reach.  How to do this? As it is now, if a I copy a link, the reader has to log in at Discord. That's no good and counter productive."
1289354245795221514,Default,,2024-09-27T22:33:27.241+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1284385091832909868> You can download the content from <#1250876565366243348> save it to your device and use it in email from your device. The items in <#1252676126698897429> links to Twitter, you can right-click on the link, choose copy link and paste it into the email.

Let me know if you are on mobile or desktop and I'll show you screenshots."
1289361852312064060,Default,,2024-09-27T23:03:40.776+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"For <#1252676126698897429>, the link when clicked on in received email just takes you back to Discord.  For thousands/millions who do not have Discord accounds, this isn't useful.  For <#1250876565366243348>, the link just shows the that is was approved."
1289361933203411006,Default,,2024-09-27T23:04:00.062+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,I'm on desktop
1289373673840709745,Default,,2024-09-27T23:50:39.248+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"If you go to <#1250876565366243348> and double-click on an image, you can right-click and choose ""save image"" to your desktop. Then you can put that image from your desktop into your email message."
1289373896252067932,Default,,2024-09-27T23:51:32.275+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"if you go to <#1252676126698897429> and right click on a link you can ""copy link"" and paste it into your email message."
1289642767265300604,Default,,2024-09-28T17:39:56.12+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"For <#1250876565366243348>, double-clicking on the image, right-clicking, and copy image, I can paste the image directly in my email."
1289643668126568535,Default,,2024-09-28T17:43:30.902+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"For <#1252676126698897429>, followed the instructions to paste the link in the email.  Send the email to myself, clicked on the URL in the received email, and it goes to the image on Discord, so that method doesn't work for people who don't have Discord accounts."
1289648581648715817,Default,,2024-09-28T18:03:02.377+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"The only way I can use the <#1252676126698897429> posts is to click on the link, which takes me to ""X"", whereupon I can right-click on the post (a video), copy the link, and then paste it into my email.  Unfortunately, I won't use ""X"", as Muskrat has demonstrated his hypocrisy , facist tendencies, AND supports Trump.   I haven't a clue why you folks decided on using ""X""??"
1289649679285485608,Default,,2024-09-28T18:07:24.074+00:00,steveh721_22113,steveh721,1284385091832909868,assets\f58ddd5a2ca6dd172d64be24d7021cfa-A9400.png,"It would be great to be able to bulk download all these fine videos and images--it would make it SOO much easier and faster to distribute these campaign messages to a wider audience.  Many people use Facebook and/or email, and more.  Please consider a bulk download capability.  Thank you 🙂"
1289658916921278515,Default,,2024-09-28T18:44:06.498+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Steve, make sure to choose ""copy link"" that will copy the X link."
