id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277764668001222826,Default,,2024-08-26T23:00:36.571+00:00,tk181818,Teagan (PA) 💙,1277403729519185995,assets\6c5996770c985bcd6e5b68131ff2ba04-171BA.png,"I think this may be the wrong place, but Discord is a bit of a labyrinth, so I’m hoping someone can help! I signed up to do my shadow shift to be a chat captain tomorrow at 9AM ET, but I haven’t received any info yet. I also can’t find any instructions here, either. Can someone point me in the right direction?"
1277766170006523925,Default,,2024-08-26T23:06:34.677+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1277403729519185995>  which team is your shadow shift with?
1277766410428481671,Default,,2024-08-26T23:07:31.998+00:00,tk181818,Teagan (PA) 💙,1277403729519185995,assets\6c5996770c985bcd6e5b68131ff2ba04-171BA.png,Vote team
1277769485255835716,Default,,2024-08-26T23:19:45.094+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,<@1174129892019941411> can you help Teagan?
1277776424282886296,Default,,2024-08-26T23:47:19.487+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,I’m not sure. Let me ping the head of the vote team and see if they can help you. <@1263159708466811000>
1277777533814833183,Default,,2024-08-26T23:51:44.02+00:00,tk181818,Teagan (PA) 💙,1277403729519185995,assets\6c5996770c985bcd6e5b68131ff2ba04-171BA.png,"Susan over in the volunteer welcome chat shared this with me. The form looks like google form <@1263159708466811000> was sharing last night in the vote team training, so I’m not sure if I should fill it out again so I can shadow tomorrow or not. I haven’t gotten a confirmation or anything for the shift tomorrow. https://events.democrats.org/event/665877/"
1277819459653992481,Reply,1277777533814833183,2024-08-27T02:38:19.919+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Since you already filled out the form, I suggest you wait until tomorrow morning. If you are still waiting tomorrow morning reach out here and the Vote team will help you."
1277993094179979345,Default,,2024-08-27T14:08:17.616+00:00,tk181818,Teagan (PA) 💙,1277403729519185995,assets\6c5996770c985bcd6e5b68131ff2ba04-171BA.png,It’s all sorted out. Thank you for all your help!
1278162342148051108,Default,,2024-08-28T01:20:49.476+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,can sombody help me find the right person to talk to?
1278173994566029362,Default,,2024-08-28T02:07:07.629+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,HI <@401447809506738189> what would you like to talk about?
1278193581697531925,Reply,1278173994566029362,2024-08-28T03:24:57.565+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,"Well, I’m a professional video editor and I’m creating some very powerful pieces that are not intended for monetization but to educate people about things like project 2025 and other things that are in line with our pro democracy cause."
1278193709661294613,Default,,2024-08-28T03:25:28.074+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,"I want to either talk to someone about how I can use my skills to help on projects that you guys already have going or how you can help spread these videos that I’ve already created, here’s a couple links"
1278194023210680372,Default,,2024-08-28T03:26:42.83+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,https://www.youtube.com/live/qzdyKQgDrgk?si=GZT9Y_VA1_EfoFs3
1278194302878482493,Default,,2024-08-28T03:27:49.508+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@401447809506738189> I encourage you to apply to [Content Brigade[(https://txt.democrats.org/DiscordJoin) there are also staff position in the [campaign media office](https://kamalaharris.com/work-with-us/)
1278194764583272562,Reply,1278194302878482493,2024-08-28T03:29:39.587+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,"Thanks, this is exactly what I was looking for!"
1278241270963372043,Default,,2024-08-28T06:34:27.572+00:00,thewocky,Jeff Battema WA,960597925602406530,assets\5af2c15db482240b17786fdf9d89ba49-22E94.png,"<@401447809506738189> Can you let me know if you have any luck with the Content Brigade? It's pretty quiet over there. (At least, I haven't had much of a response)."
1278241479277674519,Default,,2024-08-28T06:35:17.238+00:00,thewocky,Jeff Battema WA,960597925602406530,assets\5af2c15db482240b17786fdf9d89ba49-22E94.png,"I'm doing a similar thing, creating video content. (I'm no pro editor though)"
1278241548626296916,Default,,2024-08-28T06:35:33.772+00:00,thewocky,Jeff Battema WA,960597925602406530,assets\5af2c15db482240b17786fdf9d89ba49-22E94.png,https://www.youtube.com/watch?v=EITWdszXLCE
1278391710950494289,Reply,1278241270963372043,2024-08-28T16:32:15.26+00:00,natediggitydog1976,natediggitydog1976,401447809506738189,assets\3e00989327a2b8563e6c81f57e2e7245-89F09.png,I'll let you know what I find out!  it says it could take 24 to 48 hours.  I'll check your video out...
1278498741451751466,Default,,2024-08-28T23:37:33.32+00:00,thewocky,Jeff Battema WA,960597925602406530,assets\5af2c15db482240b17786fdf9d89ba49-22E94.png,"I also finished this one last night—my friend does a killer Miley Cyrus
https://youtu.be/AUz47p-87vE?si=gxLChO-BSDGdzINP"
