id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1298290330231115858,Default,,2024-10-22T14:22:15.795+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,Is there a way to make sure that one or my friends makes it on the list for the Houston rally on Friday?
1298292896855752796,Reply,1298290330231115858,2024-10-22T14:32:27.726+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,"If there is no link provided, there is sometimes an email to contact the organizer included."
1298293008730689609,Reply,1298290330231115858,2024-10-22T14:32:54.399+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,"If you yourself are going to the rally, you may want to check your confirmation email.  They often include a link to invite your friends"
1298293476714348628,Default,,2024-10-22T14:34:45.975+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,"I don’t live in Texas, but I have a good friend who I know would love to go to this."
1298293636542496860,Reply,1298293476714348628,2024-10-22T14:35:24.081+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,Have you been able to locate the event on Mobilize?
1298293700304179290,Reply,1298293476714348628,2024-10-22T14:35:39.283+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,What rally are you referring to?
1298293871024930897,Default,,2024-10-22T14:36:19.986+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,They just announced it in the Washington Post this morning.
1298294064080490518,Reply,1298293871024930897,2024-10-22T14:37:06.014+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,"I’ll check if I can find it publicly listed.  Not all rallies are, but give me a mo and I’ll check if I can find it."
1298294145755906159,Default,,2024-10-22T14:37:25.487+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,Thanks!
1298295146063855687,Reply,1298294145755906159,2024-10-22T14:41:23.979+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,"I couldn’t find it on Mobilize.us, but you may want to encourage your friend to check for themselves.  If they’ve already been volunteering in Texas, events may show for their zip code that don’t show for mine (since I’m in Florida).  Or it could already be full.  Sorry I couldn’t be of more assistance!"
1298295382413021275,Default,,2024-10-22T14:42:20.329+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,Thanks for the tips! I’ll let him know.
1298295485437710387,Reply,1298295382413021275,2024-10-22T14:42:44.892+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,"Contacting the local Dems office might help, too!  Good Luck!"
1298387130795692094,Default,,2024-10-22T20:46:54.848+00:00,taguilar55,Tammy Aguilar [NM},983469080893853716,assets\b1fa14ad74538f8ab3cc33e5a0093553-419EB.png,https://events.democrats.org/event/732872/?utm_source=hfp_w_go_20241022&source=hfp_w_go_20241022&utm_campaign=hfp_w_go_mb_do_vol_vrec_20241022&utm_medium=go_kh_20241022&ref=go_kh_20241022&utm_term=go_kh_20241022_other
1298389618546446457,Default,,2024-10-22T20:56:47.974+00:00,steve04145,Steve,1282342719104225361,assets\c82b3fa769ed6e6ffdea579381ed5f5c-FDA22.png,Awesome. Thanks!
1298400052737474570,Reply,1298387130795692094,2024-10-22T21:38:15.679+00:00,drtrillian,DrTrillian (FL)  [Call MOD],332185420232130570,assets\8a3cb963c3f48d09e7b08f7aa160470a-E56B5.png,Thank you!
