id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1281074019688513577,Default,,2024-09-05T02:10:47.498+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"**Welcome to the Climate Voter Leaders virtual office! Help us organize and get out the vote for Kamala Harris and Tim Walz!**

You can start by introducing yourself below, filling out your profile (so we can network), and engaging here in this channel to get to know your team members, support and help one another with goals and questions, celebrate our wins, and work together to elect leaders who put our climate first. 

And keep an eye out soon for a welcome message from Camila and the rest of our team leaders!"
1281081676751179930,Default,,2024-09-05T02:41:13.084+00:00,vegandoris,Doris Lin,681770394881228801,assets\9df0b742ca9aab10e84f3bbd15986ea3-108E3.png,"This new channel is great! I posted in the volunteer welcome section “Hi! I’m in New Jersey, and I’ve been volunteering for Democratic campaigns since Dukakis/Bentsen in 1988 because I was concerned about wetlands protection and the hole in the ozone layer. For a long time I voted in all presidential elections but didn’t pay much attention to state/local elections until my county started a cruel and dangerous deer hunt in our county parks. I threw myself into local politics. I now vote in every election and I’m the Democratic municipal vice chair for my town, and co-chair of our state Progressive Caucus. Looking forward to driving over state lines to knock on doors in Pennsylvania!” I’ve worked for Greenpeace, the U.S. EPA, and the Massachusetts Department of Environmental Protection. I’m vegan and I now work for Animal Protection League of NJ. Whenever a poll asks what my number one issue is, I say climate change."
1281247131272745141,Default,,2024-09-05T13:38:40.516+00:00,friendlymushroom517,Phil [MA],1277413430143225909,assets\7314a45ea57d82fd507f66ace00d25ab-B5508.png,"Hi, I'm from Massachusetts and have considered myself an environmentalist since high school. I've watched over the years as our Christmases in New England have gradually turned from snow and ice to rain and mud; our Octobers having more days that feel like July; and just last year needing to wear masks outside not due to covid, but to protect from inhaling wildfire smoke from the other side of the continent. Climate change is already impacting my own backyard as well as the rest of the world. Tackling this crisis is my number one priority for this election, one that we know Trump and his oil baron donors plan to do worse than nothing about. I believe there is no other choice for those of us who want a livable planet for ourselves and our loved ones: we must elect Kamala Harris in November to give ourselves a fighting chance for a sustainable future."
1281250845647831196,Default,,2024-09-05T13:53:26.092+00:00,legrille,Jake (MA),318554954254123008,assets\255cd1d1ea319e6943165ef183e7f5a2-A9C53.png,"Hi, I'm also in Massachusetts, and while I'm not a single-issue voter, environmentalism is near and dear to me. I've done tree-planting jobs and volunteering in New Zealand and Iceland, as well as work on organic farms, and this summer I've been volunteering at the local Audubon Society center. On a more personal level, I've been a vegetarian for about 6 years with veganism on my to-do list, and try to live as car-free as possible by walking, cycling, and using public transportation. I know it's not much, but I hope I can help out here!"
1281255856121319454,Default,,2024-09-05T14:13:20.682+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Welcome, All! As our very first volunteers joining this space, we so appreciate you sharing about yourself, your whys, and you passion for this work. Please don't minimize what you're doing! It is ALL important and impactful. And together, we will be even more so!"
1281256192202637332,Default,,2024-09-05T14:14:40.81+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"If you haven't see it yet, we have a [Climate Voters Phone Bank](https://events.democrats.org/event/677302/) happening today! A special guest should be joining and I think this event in particular will be <a:partyfireworks:1279823326071492628> !"
1281256856672669736,Reply,1281255856121319454,2024-09-05T14:17:19.232+00:00,friendlymushroom517,Phil [MA],1277413430143225909,assets\7314a45ea57d82fd507f66ace00d25ab-B5508.png,Will these phonebanks be needing any Chat or Data Captains?
1281265135901605949,Reply,1281256856672669736,2024-09-05T14:50:13.154+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"That's a great question, <@1277413430143225909>! <@1280531865014370307> might know for this phone bank or ones moving forward"
1281266367890198539,Default,,2024-09-05T14:55:06.883+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,"Hi I’m Gabby in Delco PA. Picked up my love of the environment from my mom and other family but I also love the environment. I’ve seen a noticeable change in my environment growing up and it makes me depressed, as well as numerous weather news stories (like Katrina. Sandy, wildfires). Also just all the plastic waste around. I work with a a lot of plastic at my job at the PA liquor store and wrote to suggest no plastic. There was supposed to be a ban but it never happened though some of the stores have. Biden has been amazing on the climate and there is no way I can support Trump. So I of course will support Kamala though I am disappointed she changed her view on fracking. Living in PA I understand well why she did so but it doesn’t mean I like it."
1281266949468454994,Default,,2024-09-05T14:57:25.542+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,"My mom and I belong to a CSA farm and watch where we buy meat, eggs; etc. I even bring my own containers on the rare occasion I go out to dinner. I will always ask about where fish comes from and complain if there is styrofoam or plastic (though it seems not to make a difference)."
1281267120616898691,Default,,2024-09-05T14:58:06.347+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,I very rarely eat meat and when I do I spend extra to make sure it is raised well.
1281271995136475218,Default,,2024-09-05T15:17:28.523+00:00,jesslill,Jessica Lillian [CT],893562576489828372,assets\b6fe7dcaec383399d401517c3a4f9837-B44A4.png,"Hi! I spent many years working in renewable energy trade media and extensively covered government policy. I interviewed a ton of governors and other politicians, which furthered my commitment to pushing for solutions to the climate crisis. Huge supporter of the Green New Deal (even got the t-shirt lol) and was a part of an All We Can Save book club/activism circle in 2020/2021. Will happily nerd out about solar module technology, net metering policy, and tax credits in particular at any time. ☀️"
1281278104333189150,Reply,1281256856672669736,2024-09-05T15:41:45.069+00:00,willmcconnell_,Will McConnell,1255943130331615243,assets\c75d6378063100d074284d67596485ec-56591.png,"Hi Phil- thank you so much!  Yes, we are always in need of support.  We will follow up with ways in which you can help, including making confirmation calls ahead of the phone banks with those who signed up."
