id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1274781632527732899,Default,,2024-08-18T17:27:05.492+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,"Hey there! Trans woman from Illinois looking to setup a 24-hour donation and registration drive themed around the Harris-Walz campaign! I know how to stream on Twitch so that's not a big deal but how would I make sure I'm ""above board""? Like are there specific places I should be linking to for donations and registrations?"
1274825964312072304,Default,,2024-08-18T20:23:15.013+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Hello, KutieKatelyn! Thank you so much for setting this up! You can direct people to donate at: kamalaharris.com/donate"
1274827918253752370,Default,,2024-08-18T20:31:00.869+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,"I figured that'd be okay but I didn't know if there was anything specific I should do! 

Now I need to figure out how to get the tracker working <:CZthink:1117262503072759838>"
1274827980509679789,Reply,1274825964312072304,2024-08-18T20:31:15.712+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,Also thank you for answering 🧡
1274828720775106590,Reply,1274781632527732899,2024-08-18T20:34:12.205+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,The party's website for voting is https://iwillvote.com
1274828783870017576,Reply,1274828720775106590,2024-08-18T20:34:27.248+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,Thankies 🧡
1274829684332298261,Reply,1274827980509679789,2024-08-18T20:38:01.935+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Absolutely! feel free to ping any of us mods, anytime. I can't guarantee we will all be on, but we are here to help!"
1274829921172193300,Reply,1274829684332298261,2024-08-18T20:38:58.402+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,"Once I get more details, where would be a good place to discuss or share it? <:peek:1182065990033473577>"
1274830283941613619,Default,,2024-08-18T20:40:24.893+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,You can share with your circle! On this site we can't share any non-official fundraising. That's a big one for us as it's campaign finance law
1274830439038845039,Default,,2024-08-18T20:41:01.871+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,Didn't know if grassroots stuff was cool to share here with one another so good to know!
1274831089264889988,Default,,2024-08-18T20:43:36.897+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"It's great that you are doing this! And, yeah, it's against the law for us to allow the sharing of non-official fundraising on this server"
1274831894080524419,Default,,2024-08-18T20:46:48.78+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,"Well we have a saying in the LGBT community: ""Be gay, do crime"""
1274831923855757423,Default,,2024-08-18T20:46:55.879+00:00,kutiekatelyn,KutieKatelyn,191632562483888129,assets\abdbf56a6962efc4b9f14a616f125b4f-00BB4.png,(I will not be doing crime)
1275901560408510546,Reply,1274781632527732899,2024-08-21T19:37:17.106+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"In Animal Crossing, I assume that [Biden HQ's island](https://www.polygon.com/2020/10/16/21519632/joe-biden-animal-crossing-island-dream-code-merch-signs-shirts-swag) has been remodeled for Kamala.  In Fortnite, there was a BBB custom map.  Since Reach has rankings, I also think it's gamified."
