id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277049328137015370,Default,,2024-08-24T23:38:06.257+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,I downloaded Discord on my phone last week but I just took training tonight. I don't think  I am setup correctly on the Web version.  I did not get a quiz to take. Thanks!
1277053455365832744,Default,,2024-08-24T23:54:30.265+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@456226577798135808> did you logged on to Discord on your phone? the Phone and the Web will sync together if you log on with the same account.
1277053714997444630,Default,,2024-08-24T23:55:32.166+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,I am logged on now on the Web using the same ID/PW as phone. I didn't know there was a Web version until Training tonight. I prefer to work on the Web version.
1277053955087798272,Default,,2024-08-24T23:56:29.408+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Most folks like the big screen experience. And there is also a desktop version if you don't want to be in a browser.
1277054334714249267,Default,,2024-08-24T23:57:59.918+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,I did not get a quiz...do I just wait now for the DM that was explained at the Training?
1277054700868472943,Default,,2024-08-24T23:59:27.216+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Did you get the quiz when you had Discord on your phone?
1277055451757805569,Default,,2024-08-25T00:02:26.242+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"You can get back to the questions by clicking ""Channels & Roles"" on the upper-left of your screen."
1277055453724934156,Default,,2024-08-25T00:02:26.711+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,Not sure - what type of questions were asked? I did get an agreement form.
1277055681291092009,Default,,2024-08-25T00:03:20.967+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,You definitely did the agreement. You'll see the other questions in  Channels & Roles
1277056080232316982,Default,,2024-08-25T00:04:56.082+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,"Yes I already answered customization questions - I can see what I answered before. Is that all I need to do? Do
 I wait to get the DM saying I can start?"
1277056424068780064,Default,,2024-08-25T00:06:18.059+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Which training did you do today?
1277056575584079914,Default,,2024-08-25T00:06:54.183+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,6pm edt but it  was late - it started close to 6:30..
1277056891134017657,Default,,2024-08-25T00:08:09.416+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"That was text training. right?
They will be in touch once they have added to the text info channels here."
1277058484872937584,Default,,2024-08-25T00:14:29.393+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,Yes it was for text training. OK Thanks! 🙂
1277064755269341235,Default,,2024-08-25T00:39:24.372+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Okay should be able to follow up here. https://discord.com/channels/1242249109298221066/1266829704204386334
