id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1292459467866116117,Default,,2024-10-06T12:12:29.875+00:00,joycegtx,JoyceGTX,1275616253397958721,assets\1d6c8d8cf5cc7b2647cd55c1244e448c-676CE.png,"Musk photo from a neighbor. On second photo, items in blue are my feeble response. Not trying to reason with this person, just provide facts in response to his conspiracy theory."
1292461132476452947,Default,,2024-10-06T12:19:06.749+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,"Hey Joyce! Harris stances on issues can be found here https://kamalaharris.com/issues/

This website has many facts as well https://www.piie.com/blogs/realtime-economics/2024/trump-vs-biden-immigration-side-side-policy-comparison"
1292461220451975191,Default,,2024-10-06T12:19:27.724+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,Let me know if this doesn't help!
1292464559310901258,Reply,1292461132476452947,2024-10-06T12:32:43.77+00:00,joycegtx,JoyceGTX,1275616253397958721,assets\1d6c8d8cf5cc7b2647cd55c1244e448c-676CE.png,Thanks for this but I was looking something that would shut down the lies about the immigration numbers that Musk is advancing and the illegality of them fast tracking to citizenship so they’ll vote Dem.
1292464824902746157,Reply,1292464559310901258,2024-10-06T12:33:47.092+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,Ah ok.  Let me give it another go
1292465420338462720,Default,,2024-10-06T12:36:09.055+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,"https://www.wral.com/story/fact-check-trump-claims-millions-of-immigrants-are-signing-up-to-vote-illegally/21269245/

https://www.npr.org/2024/08/25/nx-s1-5084908/republicans-false-claims-of-illegal-voting-for-democrats-are-hurting-some-citizens

https://www.poynter.org/fact-checking/2024/elon-musk-is-wrong-to-say-joe-biden-is-recruiting-immigrants-to-create-a-democratic-majority/"
1292465563074953298,Default,,2024-10-06T12:36:43.086+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,https://www.newsnationnow.com/politics/2024-election/fact-check-gop-noncitizen-voting/
1292470355944013928,Reply,1292459467866116117,2024-10-06T12:55:45.795+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"Good morning Joyce! Thank you so much for fighting so hard against misinformation. Autumn provided some awesome resources. 

Don't be dismayed if no resources or data will sway many folks. Sometimes our effectiveness is best served by knowing who is open and who is not and focusing on those who are open to discussing issues and partial to facts and not conspiracy theories. And remember self-care! 

Spending time with fence-sitters who are trying to make a decisions, rather those who already have made a decision, is the most effective way to find more votes for Kamala. 

Thanks for the good, hard work you're doing!"
1292472112589836379,Reply,1292470355944013928,2024-10-06T13:02:44.612+00:00,joycegtx,JoyceGTX,1275616253397958721,assets\1d6c8d8cf5cc7b2647cd55c1244e448c-676CE.png,"Thank you Ophelia , points well made. I have sparred with this neighbor before and he’s drunk the Koolaid. No reasoning. I want to be accurately informed about this, for my own benefit as well as being prepared to respond down the road.  <@936622618293968958> thanks for the excellent links. I was just about to try to find an answer to the question of states such as CA, not requiring voter identification. How will they prevent fraud?"
1292472659187339336,Default,,2024-10-06T13:04:54.931+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,https://www.newsweek.com/gavin-newsom-bans-california-requiring-id-vote-1961685
1292473329994829958,Default,,2024-10-06T13:07:34.864+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,https://www.ncsl.org/elections-and-campaigns/voter-id
1292483519389630554,Reply,1292472659187339336,2024-10-06T13:48:04.205+00:00,joycegtx,JoyceGTX,1275616253397958721,assets\1d6c8d8cf5cc7b2647cd55c1244e448c-676CE.png,"I have seen that and some others. From what I read, they believe the ID at registration is sufficient. Folks on the right view the headline as ripe for voter fraud."
1292484024446619742,Default,,2024-10-06T13:50:04.62+00:00,meanderingstone6495,Autumn S [AR]🤘• Lead Mod/OE Mod,936622618293968958,assets\af45a372ba919e7bac10686b43e799f1-BDEE3.png,"Yeah, I totally agree. Unfortunately, news outlets gain viewership with antics like misleading headlines."
