id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1298451422198890498,Default,,2024-10-23T01:02:23.113+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,"Ready: T1-5_102224_NV_PT_type: dvc
lots of wrong numbers and pissed off people"
1298452105098432563,Default,,2024-10-23T01:05:05.929+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"Hi Matt! Thanks for joining us tonight, and sorry you had a less than stelar experience! A lot of these lists can be tough, but that's how we will win---combing through these difficult lists and finding the diamonds in the rough who we can persuade. But, even if you're getting wrong numbers, this is still a big help! You are helping to clean up our call lists so that we won't have to waste any more time trying to connect with those people when it matters the most during the final stretch of GOTV! No one should be rude to you, but if they are, always please feel free to politely end the call immediately, mark ""hostile"" (which also removes them from our list!), and move on! Thanks again for being here---you're making a big difference, even though sometimes it can be difficult to see that in the moment 🙂"
1298452271037939733,Default,,2024-10-23T01:05:45.492+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,And feel free to hang out with us over in <#1242256751445934262> for support if you need to take a break before your next calls!
1298453157768200253,Default,,2024-10-23T01:09:16.905+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,Thank you
1298454042481262633,Default,,2024-10-23T01:12:47.837+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"<@1256067120488255519> is there anything else we can help you with? I see you over in the audio channel, but unfortunately I don't have permissions to speak over there for some reason. Just wanted to make sure you don't need anything else at the moment, let us know!"
1298454722960822315,Default,,2024-10-23T01:15:30.076+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,"I am new to discord, not sure what I am doing lol"
1298454751813570671,Default,,2024-10-23T01:15:36.955+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,I am getting old..at 36
1298455019749769328,Reply,1298454751813570671,2024-10-23T01:16:40.836+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"SAME, at 34! Discord is...not super user friendly! Are you able to see the channel that just says calls-team? Try clicking here <#1242256751445934262> and drop us a note in there! That's where we chat while we're making calls!"
1298455689642905611,Default,,2024-10-23T01:19:20.551+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,I hung up the call I didnt know i made. thanks
1298455992421318718,Reply,1298455689642905611,2024-10-23T01:20:32.739+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"No problem at all! It wasn't really a call, it's more of a waiting room type area where we can see that you're in there, and theoretically we can go in there and speak to you via voice/audio...although it doesn't seem to work for everyone. Anyhow give us a holler over in the other channel if you need some moral support as we get through these tough calls!"
