id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1285645325859553281,Default,,2024-09-17T16:55:31.82+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,"Hello - my hairdresser is Iranian, connect to many other Iranian Americans.  It is hard to get her to focus on politics but I try every election cycle.  She has said about 1/2 her Iranian American friends and family are for Trump and 1/2 for Harris.  Anyone know of an Iranian American for Kamala group with a website or social media site I can direct her to?  On Mobilize I found a DNC event Iranian Americans 4 Kamala phone banking but no link to a group.  I need something I can share with her that details why Harris will be better for Iranian American concerns than Trump.  Ideas, suggestions.  If there is a different channel I should ask this in, please let me know.  Thank you."
1285653746319233097,Default,,2024-09-17T17:28:59.414+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1255695517342502922> any content that is available would be found on Reach. And definitely keep searching with mobilize.us because new things get added there all the time.
1285655823758131273,Default,,2024-09-17T17:37:14.714+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,Thank you.
1285728941377847346,Default,,2024-09-17T22:27:47.313+00:00,iknowrebekah,Rebekah,394759023251161088,assets\a2a24481e848fa18ac39b643d2b65724-B9F34.png,"Hey Joan - I am an Iranian American. I host a (virtual) phonebank on Monday nights 6-8 PST. I speak Farsi fluently if they want help in another language. Also, depending on where they are there are opportunities to put their language skills to use in person."
1285756263627489304,Default,,2024-09-18T00:16:21.445+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@394759023251161088> I am so glad you found this post. Thank you so much for making yourself available to support JeanL.
1286182685655568486,Default,,2024-09-19T04:30:48.379+00:00,iknowrebekah,Rebekah,394759023251161088,assets\a2a24481e848fa18ac39b643d2b65724-B9F34.png,<@568257600228032512> Me too!
1286182828475813960,Reply,1285655823758131273,2024-09-19T04:31:22.43+00:00,iknowrebekah,Rebekah,394759023251161088,assets\a2a24481e848fa18ac39b643d2b65724-B9F34.png,Hey Joan - I am going to DM you my email. It is easier for me to communicate via that than Discord.
1286184908556865551,Default,,2024-09-19T04:39:38.36+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,Thank you Rebekah.
1287009829403234367,Default,,2024-09-21T11:17:34.816+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,"Hi <@1255695517342502922> -- I found this on another general-support-qs thread: https://discord.com/channels/1242249109298221066/1285417363176685619/1285417363176685619. There's also this new clip with JD Vance, talking about deportations of millions of people: https://www.threads.net/@kamalahq/post/DAJVieiMdRE. Lastly, from a new NT Times editorial by Charles Blow: “Last year, the Trump adviser Stephen Miller bragged on [Twitter]: ‘We started a new denaturalization project under Trump. In 2025, expect it to be turbocharged.’ In his post, he linked to a 2020 New York Times article reporting on the creation of a Justice Department section that would ‘strip citizenship rights from naturalized immigrants, a move that gives more heft to the Trump administration’s broad efforts to remove from the country immigrants who have committed crimes.’ Revoking the citizenship of naturalized Americans who’ve committed serious crimes may sound like common sense to Trump and some of his supporters, but it’s a slippery slope."" https://www.nytimes.com/2024/09/18/opinion/trump-haitians-immigration-springfield.html"
1287031081018593395,Default,,2024-09-21T12:42:01.596+00:00,joanl0180,JoanL,1255695517342502922,assets\22957df0ee5436745fcbc73a23e86a13-976B4.png,Thanks so much.  🥰
1287054776504291461,Default,,2024-09-21T14:16:11.04+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,Thank YOU for your persistence on behalf of all of us <:blueheart:1252803082849488956>
