id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1293956714025975929,Default,,2024-10-10T15:22:01.177+00:00,peggy_13107,Peggy,1293954265022332938,assets\3-FB033.png,"Hope I'm in the right place...when I click on the zoom link for 11:00 phone bank, it brings me to the zoom page and the dialog with ""open link."" but when i click that, it goes nowhere. I made sure to open zoom and sign in on  my account and tried again, but the same thing. any suggestions?"
1293957854889512961,Default,,2024-10-10T15:26:33.18+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,"hmm... trying to click around on my end and figure this out... if anything, I would try shutting down zoom completely and restarting it (+login) before clicking the link again.

Or it could be that the link is broken (I've done that by accident on the other end of phonebanks, oops.)"
1293957951760896112,Default,,2024-10-10T15:26:56.276+00:00,peggy_13107,Peggy,1293954265022332938,assets\3-FB033.png,i'll give it a try...thanks
1293958099798851618,Reply,1293957951760896112,2024-10-10T15:27:31.571+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,"trying to get more knowledgeable troubleshooting for you, as well! hope you can connect!"
1293959843882995783,Default,,2024-10-10T15:34:27.393+00:00,peggy_13107,Peggy,1293954265022332938,assets\3-FB033.png,"no luck yet...I may try checking my computer for updates, restarting, etc.  I know the zoom app updated a day or two ago"
1293960091074166785,Reply,1293959843882995783,2024-10-10T15:35:26.328+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,"ahh, maybe that's it then. I know my computer goes glitchy for a day or two after it tries to run program updates."
1293960154106040340,Default,,2024-10-10T15:35:41.356+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,"Thankfully, there are plenty more phonebanks for you to join, anytime!"
1293963601811472504,Reply,1293959843882995783,2024-10-10T15:49:23.353+00:00,helen_fair,Helen Fairbrother[NJ] [Call Mod],1277403351667048508,assets\ffcbaca1edffb25ac530087181864d5a-E82C5.png,"Hi, Peggy -- Are you having any luck getting on your zoom link yet?"
1293964948334051378,Reply,1293963601811472504,2024-10-10T15:54:44.389+00:00,peggy_13107,Peggy,1293954265022332938,assets\3-FB033.png,"Yes-thanks.  Restarted everything, then I was able to connect"
1293965157114052628,Reply,1293964948334051378,2024-10-10T15:55:34.166+00:00,helen_fair,Helen Fairbrother[NJ] [Call Mod],1277403351667048508,assets\ffcbaca1edffb25ac530087181864d5a-E82C5.png,great.  I logged on to the call and found a Peggy.  Hoped it was you!  Happy Calling!
