id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1284994572404920320,21,1284993172136792166,2024-09-15T21:49:40.106+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,
1284994574389088297,Default,,2024-09-15T21:49:40.579+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"Hi Owen, have you taken a training yet? https://events.democrats.org/event/672393/"
1284994822301814897,Default,,2024-09-15T21:50:39.686+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,yes I did the traing yesterday
1284995862291808307,Default,,2024-09-15T21:54:47.639+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,"I think I have to get a slack account for internal texting with team 6 and then go to PINS to see where we are texting.  I know there are specific days & times to text, cant just text anytime"
1284996797764210689,Reply,1284994822301814897,2024-09-15T21:58:30.673+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,I'm not seeing you in the agreement form list; did you sign the agreement form? I also don't see you in the Zoom list or Quiz results. Are you sure you are in the correct Discord channel?
1284997370139906075,Default,,2024-09-15T22:00:47.138+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,I have no idea. I opened Zoom Link that was emailed to me at 11am joined Zoom text training
1284997496300376106,Default,,2024-09-15T22:01:17.217+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,that was yesterday SAT 11am PST
1284997838153187469,Reply,1284997496300376106,2024-09-15T22:02:38.721+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Probably another group..... sorry! Maybe Newsom?
1284998375472762951,Default,,2024-09-15T22:04:46.828+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,"I didn""t sign an agreement form or take a quiz for text training I also did a phone bank zoom training month ago & didnt sign any thing or take a quiz. what do I do now?  the trainer was a woman forgot her name sorry"
1284998535561089045,Default,,2024-09-15T22:05:24.996+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,it was team 6 if that helps
1284999086327599236,Reply,1284998535561089045,2024-09-15T22:07:36.309+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"So you are in the wrong discord channel; this is Harris-Walz, not Field Team 6. Please check in with them. Thanks!"
1284999408638886019,Default,,2024-09-15T22:08:53.154+00:00,owen09589,Owen,1277339276442337282,assets\f7f2e9361e8a54ce6e72580ac7b967af-F4F4C.png,ok I try & figure how to do that thanks
