id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1275217102025916436,Default,,2024-08-19T22:17:29.511+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,Im not getting sign up links for the meetings I signed up for and now im thinking you guys kicked me out of the group if that's the case I guess I won't put all that time and energy in posting from reach ill still vote for Harris but if you don't want me to be allowed to join meetings ill get off discord and reach and ill stop posting
1275221456594141325,Default,,2024-08-19T22:34:47.721+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi Shannon I am here to support you. Which meetings did you sign up for?
1275221801626112102,Default,,2024-08-19T22:36:09.983+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,The weekly social ambassador meeting and one other one that starts at. 7 et
1275222234369101897,Default,,2024-08-19T22:37:53.157+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Is that the Vote team facilitator meeting at 7 today?
1275222279881490432,Default,,2024-08-19T22:38:04.008+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,Idk
1275222421900755065,Default,,2024-08-19T22:38:37.868+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,I don't remember what I signed up for but im no longer getting links to join
1275222740940492910,Default,,2024-08-19T22:39:53.933+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Can you sign up for this one at 8pm today. You don't have to attend I just want to make sure your sign up is processed. Using phone number is best, so you get the text immediately.
https://events.democrats.org/event/615101/"
1275223170378371153,Default,,2024-08-19T22:41:36.319+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I have to switch locations, I'll be back here with you in 10 minutes."
1275223964133625898,Default,,2024-08-19T22:44:45.565+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,OK I just signed up fit
1275223988272103556,Default,,2024-08-19T22:44:51.32+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,For it
1275225752845029376,Default,,2024-08-19T22:51:52.027+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,did you get the text message?
1275533380221538304,Default,,2024-08-20T19:14:16.109+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,No but I think I figured it out I must have accidentally blocked the number so I unblocked every number
1275845692916764825,Default,,2024-08-21T15:55:17.258+00:00,annerc,Anner,1052753152744628234,assets\2132bcd568c2e2e6c31cb4bceefafbb4-125F3.png,I signed up for the training a couple nights ago and didnt get the link. I sighed up for tonight and havent received anything yet.
1275847830724153515,Reply,1275845692916764825,2024-08-21T16:03:46.951+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1052753152744628234> did you put your phone number or email in the sign up? If if you put phone number, please make sure you haven't blocked any numbers and you are able to recieve text message. If you put email, check your spam box."
1277028450309246977,Default,,2024-08-24T22:15:08.595+00:00,shannonpersists,Old account,1265829155669545094,assets\4-4551A.png,I figured it out i accidentally marked you as spam and blocked.  I get so many fakers that my trigger finger is block-happy
