id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1281047395810934785,Default,,2024-09-05T00:24:59.871+00:00,newyorkerforharris2024,Kel,1278144299678171250,assets\4-4551A.png,In the PA channel I see some events for Friendbanking and some events for Power Mapping. What are these? I've never heard of either.
1281051862212018249,Default,,2024-09-05T00:42:44.744+00:00,bradd_62,Brad D. [ILL],1281046487962488996,assets\58e524dfa4d2f69c13e88eec606187d8-82DE5.png,Generally it's talking to friends online.  Not sure what Power Mapping is.  I signed up for a training session on it.
1281052851711246368,Default,,2024-09-05T00:46:40.659+00:00,newyorkerforharris2024,Kel,1278144299678171250,assets\4-4551A.png,Thanks Brad. Good to know
1281053099519381505,Default,,2024-09-05T00:47:39.741+00:00,bradd_62,Brad D. [ILL],1281046487962488996,assets\58e524dfa4d2f69c13e88eec606187d8-82DE5.png,"I'm just a new volunteer, so if you really want to know, hopefully someone more knowledgeable will answer."
1281054033796268133,Default,,2024-09-05T00:51:22.49+00:00,newyorkerforharris2024,Kel,1278144299678171250,assets\4-4551A.png,I'm new too. I live in New York but looking for ways to help in PA.
1281056876989120577,Default,,2024-09-05T01:02:40.36+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Friend banking and mapping are ways of using your personal networks to spread the word.
1281059764029358081,Default,,2024-09-05T01:14:08.684+00:00,newyorkerforharris2024,Kel,1278144299678171250,assets\4-4551A.png,Thanks Carolyn. That helps!
1281109682387288074,Reply,1281054033796268133,2024-09-05T04:32:30.148+00:00,matt_1989_,Matt Sally,1275554237870247947,assets\2-ADBB4.png,Hey - I went into the PA mobilize site and there’s plenty of canvassing opportunities and phone banking too. I in fact did do door knocking last Saturday in Newton PA. It’s a great way to interact and persuade voters of the choice ahead. Visit the PA site —> https://www.mobilize.us/padems/
1281109828701261834,Default,,2024-09-05T04:33:05.032+00:00,matt_1989_,Matt Sally,1275554237870247947,assets\2-ADBB4.png,"They do canvassing every weekend and if you’re from NYC like I am, then Newtown/Bucks county was ‘closest’ for me"
1281121135928545331,Default,,2024-09-05T05:18:00.885+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1275554237870247947> thanks for sharing this positive experience so other volunteers will be excited to do canvassing
1281121617149296683,Default,,2024-09-05T05:19:55.617+00:00,matt_1989_,Matt Sally,1275554237870247947,assets\2-ADBB4.png,"Oh yes absolutely - very great experience and honestly needed because if you’re not doing it, someone on the other side is and they are taking your lunch! Every vote needs to be chased (and registered if not done so)"
1281246806260322334,Default,,2024-09-05T13:37:23.027+00:00,newyorkerforharris2024,Kel,1278144299678171250,assets\4-4551A.png,Thanks all for the information. Hoping to get there this Saturday and again in the coming weekends to help get the critical win in PA
1281252557854867506,Default,,2024-09-05T14:00:14.314+00:00,matt_1989_,Matt Sally,1275554237870247947,assets\2-ADBB4.png,Wonderful - let folks here know how it goes 😊
1281252641011138571,Default,,2024-09-05T14:00:34.14+00:00,matt_1989_,Matt Sally,1275554237870247947,assets\2-ADBB4.png,I did Newtown but there’s others but they might be a bit further away
