id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277425926774194196,Default,,2024-08-26T00:34:34.369+00:00,lindainburbank,Linda in Burbank,1137876010591846470,assets\83bfa3398a8ae3688a52fd908d701050-2D7C6.png,"We have a lot of interest here in Burbank to do a fun fundraiser for the campaign. Is there info here in Discord that I can access on do’s and don’ts? Or if not, where is a good place that I can go to find out that info? Thanks!"
1277426628833710213,Default,,2024-08-26T00:37:21.753+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1137876010591846470> I'm going to direct you to https://discord.com/channels/1242249109298221066/1242264464246440017
1277426702766706761,Default,,2024-08-26T00:37:39.38+00:00,lindainburbank,Linda in Burbank,1137876010591846470,assets\83bfa3398a8ae3688a52fd908d701050-2D7C6.png,Thanks!
1277695887078064170,Default,,2024-08-26T18:27:17.921+00:00,bashainotheartist,B A S H A I N O  The Artist,1276596543281168446,assets\6bbc71e4efd218380c5b198dc1bcb14f-7D7F6.png,"Hello Support team.. I am a Music Producer that created an Amazing Music Jingle for the campaign &  I wanted to volunteer my talent's & my song to the DNC. The jingle theme lyrics hits on all related topics such as ""Kamala for President, coach Tim Walz (Coach TW😊) .. 
"" We Are Not Going Back""""Joyful Warriors  & one of the most Important campaign slogans which is 
""VOTE VOTE VOTE !!!"" 
Can you guide me in the right direction on how I can submit my music jingle for the possibilities of being used as one of the themes for the remainder of the campaign if it's liked & approved .. Thanks"
1277700165272076441,Reply,1277695887078064170,2024-08-26T18:44:17.922+00:00,lindainburbank,Linda in Burbank,1137876010591846470,assets\83bfa3398a8ae3688a52fd908d701050-2D7C6.png,"Hi there, you should start your own question thread with your question as I don't think the mods are necessarily looking at replies to the questions."
1277700263054016554,Default,,2024-08-26T18:44:41.235+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1276596543281168446> we don't have a specific team for this but you can reach out to https://kamalaharris.com/contact-us/ and you can try the Content Brigade https://txt.democrats.org/DiscordJoin
1277704927338168320,Default,,2024-08-26T19:03:13.287+00:00,bashainotheartist,B A S H A I N O  The Artist,1276596543281168446,assets\6bbc71e4efd218380c5b198dc1bcb14f-7D7F6.png,"Thank you much Linda for your prompt response.. I will definitely try those suggestions.. 
Btw would I need to start my question thread on a specific channel or just the general 
*Start here"" section where I see everyone is posting ?"
1277706518078292078,Reply,1277704927338168320,2024-08-26T19:09:32.549+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Bashaino, Linda is suggesting you make a new question instead of adding you message to her question about Hosts. But since I already answered you here it isn't necessary to make a new questions. Try reaching out to the campaign office with the contact page i shared. Also definitely share your jingle on your social platforms with hashtags that will be noticed by the campaign. Someone in the media office is more likely to find you that way."
1277708164736880711,Default,,2024-08-26T19:16:05.143+00:00,bashainotheartist,B A S H A I N O  The Artist,1276596543281168446,assets\6bbc71e4efd218380c5b198dc1bcb14f-7D7F6.png,Thank you will do 👍
1277709098212790375,Default,,2024-08-26T19:19:47.701+00:00,bashainotheartist,B A S H A I N O  The Artist,1276596543281168446,assets\6bbc71e4efd218380c5b198dc1bcb14f-7D7F6.png,"This is not a question relating to more info regarding what I was looking for.. but I would love to share the theme jingle with you for your enjoyment & maybe you can forward.. 
Do you have a business email that I can send it to ?"
1277710663237763205,Default,,2024-08-26T19:26:00.832+00:00,bashainotheartist,B A S H A I N O  The Artist,1276596543281168446,assets\6bbc71e4efd218380c5b198dc1bcb14f-7D7F6.png,The song will hopefully start making waves on social media  & I will reach out to the campaign office as suggested.. Thanks again
1277711234896105472,Reply,1277709098212790375,2024-08-26T19:28:17.126+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Thank you. Please send it in a DM on Discord.
