id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1299874940928917535,Default,,2024-10-26T23:18:56.426+00:00,camiloa_05414,Camilo A [CA],1299872616106037348,assets\1-B2132.png,"Hi,

I was doing calls to NV, for spanish voters, and the callbank tool stopped working all of the sudden with ""network connection lost"" error. I have tried hitting retry with no luck. My internet connection is working find otherwise.

Has anybody else experienced this?

Thanks!"
1299876085483180054,Default,,2024-10-26T23:23:29.309+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,We have a brief tech issue.  Refresh and it should be working!
1299876145097080853,Default,,2024-10-26T23:23:43.522+00:00,camiloa_05414,Camilo A [CA],1299872616106037348,assets\1-B2132.png,"It looks like it is back! Thanks a lot, Denise!"
1299876597813350412,Default,,2024-10-26T23:25:31.458+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,yay! Glad to have you here.
1299879831382790184,Default,,2024-10-26T23:38:22.401+00:00,camiloa_05414,Camilo A [CA],1299872616106037348,assets\1-B2132.png,"Unfortunately, it looks like the technical issues are happening again..."
1299880009841774622,Default,,2024-10-26T23:39:04.949+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,"hang in there, we just had another glitch.  I will be resolved quick.  hang out in <#1242256751445934262>  and we'll keep you updated!"
1299880028976189551,Default,,2024-10-26T23:39:09.511+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,"yup, I just got kicked off, was in the middle of a call with a voter!"
1299881125610651658,Default,,2024-10-26T23:43:30.969+00:00,camiloa_05414,Camilo A [CA],1299872616106037348,assets\1-B2132.png,Will do. I will hang out in # calls-team!
1299881150998646846,Default,,2024-10-26T23:43:37.022+00:00,camiloa_05414,Camilo A [CA],1299872616106037348,assets\1-B2132.png,And we are back... 🙂
1299881223170035723,Reply,1299881125610651658,2024-10-26T23:43:54.229+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,woo hoo!
1299881995614031962,Default,,2024-10-26T23:46:58.394+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,"connection just dropped again, I don't think it's a good experience for these people to be talking with us and the call to drop!"
1299882230210105394,Default,,2024-10-26T23:47:54.326+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,voter wanted to received the iwillvote text message link and I am not able to send
1299882231107555331,Reply,1299881995614031962,2024-10-26T23:47:54.54+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,not ideal.  Hang in with us. We'll get it fixed!
1299882272702464091,Default,,2024-10-26T23:48:04.457+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,could you help me to make sure this voter gets the link?
1299882592228868106,Reply,1299882272702464091,2024-10-26T23:49:20.638+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,do you have their info?  You can put it in the debrief form.
1299882681361764444,Default,,2024-10-26T23:49:41.889+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,"I remember here full name, but didn't get the phone number"
1299882739834687618,Default,,2024-10-26T23:49:55.83+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,I navigated away from the screen trying to refresh
1299882757354291223,Default,,2024-10-26T23:50:00.007+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,her*
1299882848282742846,Reply,1299882592228868106,2024-10-26T23:50:21.686+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,where/what is the debrief form?
1299882978809483354,Default,,2024-10-26T23:50:52.806+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,"Ok, whatever you remember record here  [debrief form](https://forms.gle/JxfH2cGRx1Zrxty66)"
1299883592662384772,Default,,2024-10-26T23:53:19.16+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,ty
1299883696127479909,Default,,2024-10-26T23:53:43.828+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,"the dialer still doesn't seem to be working, I'm going to switch over to VoteForward letters"
1299883824003682349,Default,,2024-10-26T23:54:14.316+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,"Stay on here, I'll let you know when we are back up. I just got in but not sure if its live."
1299883895885529119,Default,,2024-10-26T23:54:31.454+00:00,joem._82347,Joe M.,1294535611818053632,assets\4-4551A.png,👍
1299888028642312332,Default,,2024-10-27T00:10:56.78+00:00,maria_63388,Maria,1299885992919961660,assets\0-EB806.png,I'm getting this message too trying to call NC
1299889973780152380,Reply,1299888028642312332,2024-10-27T00:18:40.537+00:00,hungry.hiker,Laura M (CO) • Call Mod,756314488113987654,assets\4aa5ed3c3ad66beef8f10bd0d3979dae-08843.png,Please hop on the 8pm ZPB and you can get started there: https://txt.democrats.org/HPB/
