id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277303291985788999,Default,,2024-08-25T16:27:15.957+00:00,grygo0630,Grygo,1276506366466592790,assets\8d147fbffba5817937643f6498d8ab3b-FDC08.png,"I want to volunteer in Kamal’s campaign. I was thinking of helping with setting up the headquarters in Delaware Valley, the campaign rallies, and welcoming guests. I do not feel comfortable texting or calling people.
Does anyone have any ideas?"
1277333715005079795,Default,,2024-08-25T18:28:09.37+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I'm not sure where Delaware Valley is, perhaps the Delaware County Dems office can connect you with opportunities. https://www.delcodems.com/take-action/volunteer/"
1277343669019476110,Default,,2024-08-25T19:07:42.592+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,Not a mod but I live here. Delaware Valley does not refer to Delco
1277343707724648663,Default,,2024-08-25T19:07:51.82+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,"“In addition to Philadelphia, other major population centers in the Delaware Valley include Reading, Upper Darby Township, and Chester in Pennsylvania; Atlantic City, Camden, Vineland, and Cherry Hill in South Jersey; and Wilmington and Dover in Delaware.”"
1277344317035380786,Default,,2024-08-25T19:10:17.091+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,"It includes Delco as well as ChesCo, MontCo Philadelphia, and Bucks County"
1277344358005346466,Default,,2024-08-25T19:10:26.859+00:00,gabbywpa85,Gabby W •Mod [PA],1268364888670208133,assets\9aba90e71ef985acd9142b3316cfaab0-2D0BF.png,And other states
1277347944315490407,Reply,1277303291985788999,2024-08-25T19:24:41.902+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Thanks to Gabby I know more about Pennsylvania. 
If you go to https://www.mobilize.us/padems/ it will show events near you, you can also filter with a specific zipcode and/or location and filter by keywords for events like ""rally"" and ""canvass"""
1277456215928082575,Default,,2024-08-26T02:34:55.866+00:00,joy0517,Joy,1270181057966116996,assets\34941b26d3e818f841bee19d4dc268bf-81089.png,"I grew up near Philadelphia. My sister and her husband live in North Wales and I will be canvassing near them in September 
I have lived in VA for many years. Today I did phone banking in VA for PA. 
I easily connected with the voters- probably just luck. 
Am I allowed to sign up to do phone banks in PA despite living in VA? 
Thanks very much!! 😊💙"
1277479151301038174,Reply,1277456215928082575,2024-08-26T04:06:04.085+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Joy, you can sign up to phonebank in PA from anywhere. If you phonebank with the team here, it will be to swing states."
1277483689210675262,Reply,1277479151301038174,2024-08-26T04:24:06.007+00:00,joy0517,Joy,1270181057966116996,assets\34941b26d3e818f841bee19d4dc268bf-81089.png,"Thanks very much, Carolyn!! 💙💙"
