id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1279807365042147432,Default,,2024-09-01T14:17:33.497+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,"Hi. I have been a member of the call team for a number of weeks and have been making calls successfully. I did my shadow call shift and submitted my debrief form. I do not have access to any of the call team channels including the resource channel, the question channel and the main channel where announcements are made. I plan to continue making calls and would like to have access to these helpful resources. I am committed to being part of the call team and am respectful of all guidelines. If I have used a channel incorrectly, please let me know and I will abide by all additional information I receive. I am doing my best to be a good member of the call team and am unaware of any reason I should not have access to these channels, but if I have misunderstood how they are used please inform me and I will comply with any additional information you provide me with in response to this post. I reviewed a lot of information about how to use discord, the virtual office and its many channels and may have misinterpreted some of the information."
1279807561121665106,Default,,2024-09-01T14:18:20.246+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,<@&1242252399284977714>
1279807988563185695,Reply,1279807365042147432,2024-09-01T14:20:02.156+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"Hi Amy! I've tagged all call mods here so hopefully someone can help you with this. Also, be sure you click on ""Team Harris-Walz Virtual Server"" in top left sidebar and make sure ""Show all Channels"" is selected. Sometimes discord likes to glitch and turn that off even after we've selected it, so check first anytime channels disappear/aren't showing up for you!"
1279808145354522645,Default,,2024-09-01T14:20:39.538+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,They are showing up. They have been locked.
1279808250308726876,Reply,1279808145354522645,2024-09-01T14:21:04.561+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"In that case, a call mod should be able to come along and help you here soon."
1279808372706639994,Default,,2024-09-01T14:21:33.743+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,Thank you. I really appreciate your help.
1279808388578152559,Default,,2024-09-01T14:21:37.527+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,<@456226577798135808> Are you looking for VOTE Team access?
1279808499785662485,Default,,2024-09-01T14:22:04.041+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,I need access to the call team channels.
1279808676626173993,Default,,2024-09-01T14:22:46.203+00:00,Deleted User,Deleted User,456226577798135808,assets\3-FB033.png,I did have access to at least one of them yesterday.
1279809613943930973,Default,,2024-09-01T14:26:29.677+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,I see that you posted to <#1242256751445934262> this morning. Can you not see that channel any longer?
